legacy_id,sample_quantity,source,reason
bitrix24:114:6754,15,verified_nxm,"3 positions × 5 each"
bitrix24:114:6788,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:6884,9,verified_nxm,"3 positions × 3 each"
bitrix24:114:6888,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:6926,12,verified_nxm,"4 positions × 3 each"
bitrix24:114:6928,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7018,30,verified_nxm,"10 positions × 3 each"
bitrix24:114:7026,2,verified_nxm,"2 positions × 1 each"
bitrix24:114:7040,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7042,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7172,18,verified_nxm,"6 positions × 3 each"
bitrix24:114:7174,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7180,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7196,9,verified_nxm,"3 positions × 3 each"
bitrix24:114:7210,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7214,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7216,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7220,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7238,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7240,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7298,12,verified_nxm,"4 positions × 3 each"
bitrix24:114:7420,15,verified_nxm,"5 positions × 3 each"
bitrix24:114:7448,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7520,24,verified_nxm,"8 positions × 3 each"
bitrix24:114:7532,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7570,12,verified_nxm,"4 positions × 3 each"
bitrix24:114:7572,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7612,8,verified_nxm,"8 positions × 1 each"
bitrix24:114:7614,12,verified_nxm,"4 positions × 3 each"
bitrix24:114:7628,2,verified_nxm,"2 positions × 1 each"
bitrix24:114:7668,15,verified_nxm,"5 positions × 3 each"
bitrix24:114:7736,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7738,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7740,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7742,3,verified_nxm,"1 positions × 3 each"
bitrix24:114:7758,6,verified_nxm,"2 positions × 3 each"
bitrix24:114:7778,18,verified_nxm,"6 positions × 3 each"
bitrix24:114:7828,21,verified_nxm,"7 positions × 3 each"
bitrix24:114:7882,15,verified_nxm,"5 positions × 3 each"
bitrix24:114:7908,24,verified_nxm,"8 positions × 3 each"
