source_file,decoded_name,kind
#U0410#U0432#U0442#U043e#U043d#U0430#U0437#U043d#U0430#U0447#U0435#U043d#U0438#U044f.svg,Автоназначения,product screen board
#U0414#U0430#U0448#U0431#U043e#U0440#U0434#U044b.svg,Дашборды,product screen board
#U0414#U0435#U0442#U0430#U043b#U044c#U043d#U0430#U044f #U043e#U0442#U0447#U0435#U0442#U0430.svg,Детальная отчета,product screen board
#U0417#U0430#U044f#U0432#U043a#U0430 #U043d#U0430 #U043f#U0440#U043e#U0438#U0437#U0432#U043e#U0434#U0441#U0442#U0432#U043e.svg,Заявка на производство,product screen board
#U0418#U0441#U0442#U043e#U0440#U0438#U044f #U0438#U0437#U043c#U0435#U043d#U0435#U043d#U0438#U0439.svg,История изменений,product screen board
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c #U0434#U043b#U044f #U043d#U0430#U0447#U0430#U043b#U044c#U043d#U0438#U043a#U0430.svg,Календарь для начальника,product screen board
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c #U0438 #U043f#U0440#U0430#U0437#U0434#U043d#U0438#U043a#U0438.svg,Календарь и праздники,product screen board
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c.svg,Календарь,product screen board
#U041a#U043e#U043c#U043c#U0435#U043d#U0442#U0430#U0440#U0438#U0438.svg,Комментарии,product screen board
#U041e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0435 #U043f#U043e #U0433#U0430#U0440#U0430#U043d#U0442#U0438#U0439#U043d#U043e#U043c#U0443 #U043e#U0431#U0441#U043b#U0443#U0436#U0438#U0432#U0430#U043d#U0438#U044e.svg,Обращение по гарантийному обслуживанию,product screen board
#U041f#U0435#U0440#U0432#U0438#U0447#U043d#U043e#U0435 #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0435.svg,Первичное обращение,product screen board
#U041f#U043b#U0430#U043d#U0438#U0440#U043e#U0432#U0449#U0438#U043a #U0434#U043b#U044f #U0441#U043e#U0442#U0440#U0443#U0434#U043d#U0438#U043a#U0430.svg,Планировщик для сотрудника,product screen board
#U041f#U043e#U0441#U0442#U0430#U0432#U0449#U0438#U043a#U0438.svg,Поставщики,product screen board
#U0420#U0435#U0434#U0430#U043a#U0442#U0438#U0440#U043e#U0432#U0430#U043d#U0438#U0435 #U0434#U0430#U0448#U0431#U043e#U0440#U0434#U0430.svg,Редактирование дашборда,product screen board
#U0421#U043e#U0437#U0434#U0430#U043d#U0438#U0435 #U043e#U0442#U0447#U0435#U0442#U0430.svg,Создание отчета,product screen board
#U0421#U043e#U043e#U0431#U0449#U0435#U043d#U0438#U044f.svg,Сообщения,product screen board
#U0421#U043f#U0438#U0441#U043e#U043a #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0439.svg,Список обращений,product screen board
#U0421#U043f#U0438#U0441#U043e#U043a #U043e#U0442#U0447#U0435#U0442#U043e#U0432.svg,Список отчетов,product screen board
#U0421#U0440#U043e#U043a#U0438 #U043e#U0431#U0440#U0430#U0431#U043e#U0442#U043a#U0438 #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0439.svg,Сроки обработки обращений,product screen board
#U0423#U0432#U0435#U0434#U043e#U043c#U043b#U0435#U043d#U0438#U044f #U0434#U043b#U044f #U043e#U0442#U0447#U0435#U0442#U043e#U0432.svg,Уведомления для отчетов,product screen board
#U0423#U043f#U0440#U0430#U0432#U043b#U0435#U043d#U0438#U0435 #U043a#U0430#U0442#U0435#U0433#U043e#U0440#U0438#U044f#U043c#U0438 #U0438 #U043f#U043e#U043b#U044f#U043c#U0438.svg,Управление категориями и полями,product screen board
#U0423#U043f#U0440#U0430#U0432#U043b#U0435#U043d#U0438#U0435 #U043e#U0440#U0433#U0430#U043d#U0438#U0437#U0430#U0446#U0438#U044f#U043c#U0438.svg,Управление организациями,product screen board
#U0423#U043f#U0440#U0430#U0432#U043b#U0435#U043d#U0438#U0435 #U043f#U043e#U043b#U044f#U043c#U0438.svg,Управление полями,product screen board
#U0423#U043f#U0440#U0430#U0432#U043b#U0435#U043d#U0438#U0435 #U0441#U0442#U0430#U0442#U0443#U0441#U0430#U043c#U0438 #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0439.svg,Управление статусами обращений,product screen board
Avatar.svg,Avatar,component board
Bage.svg,Bage,component board
Buttons.svg,Buttons,component board
Calendar.svg,Calendar,component board
Card with button.svg,Card with button,component board
Checkbox.svg,Checkbox,component board
Colors.svg,Colors,component board
Cover.svg,Cover,component board
Dashboard.svg,Dashboard,component board
Date-Picker.svg,Date-Picker,component board
Detailed appeals.svg,Detailed appeals,component board
Documents.svg,Documents,component board
Drawer.svg,Drawer,component board
Dropdown menu.svg,Dropdown menu,component board
Form constructor.svg,Form constructor,component board
Header.svg,Header,component board
History of changes.svg,History of changes,component board
Icons.svg,Icons,component board
Input Number.svg,Input Number,component board
Link.svg,Link,component board
Managing appeals.svg,Managing appeals,component board
Messages.svg,Messages,component board
Modal.svg,Modal,component board
Notification.svg,Notification,component board
Pagination (1).svg,Pagination (1),component board
Pagination (2).svg,Pagination (2),component board
Pagination.svg,Pagination,component board
Planner.svg,Planner,component board
Popover.svg,Popover,component board
Radio.svg,Radio,component board
Reports card.svg,Reports card,component board
Segment.svg,Segment,component board
Select.svg,Select,component board
Sidebar.svg,Sidebar,component board
Spacing.svg,Spacing,component board
Status.svg,Status,component board
Switch.svg,Switch,component board
Table Cell.svg,Table Cell,component board
Table.svg,Table,component board
Tabs.svg,Tabs,component board
Tag.svg,Tag,component board
Textarea.svg,Textarea,component board
Tooltip.svg,Tooltip,component board
